order_id,order_date,customer_id,customer_name,customer_region,customer_segment,product_category,product_name,quantity,unit_price_egp,discount_pct,total_revenue_egp,total_cost_egp,profit_egp,payment_method,sales_channel,sales_rep,delivery_days,customer_rating,promo_applied,returned
ORD104456,2025-03-30,CUST0373,Tarek Aziz,Cairo,Consumer,Beauty,Hair Dryer,1,895.92,0.0,895.92,442.65,453.27,Cash,Phone,Sara M.,0,4.0,False,False
ORD104226,2025-03-06,CUST0082,Karim Ibrahim,Cairo,SMB,Clothing,Jeans,1,691.21,0.0,691.21,313.65,377.56,Mobile Wallet,In-store,Sara M.,0,3.0,False,False
ORD103671,2024-12-21,CUST0191,Ahmed Sherif,Cairo,Enterprise,Clothing,Hoodie,3,616.45,0.0,1849.35,868.53,980.82,Card,Online,,4,4.0,False,False
ORD100307,2023-03-10,CUST0007,Youssef Abdel Rahman,Mansoura,SMB,Beauty,Makeup Kit,2,588.41,0.0,1176.82,477.36,699.46,Installment,Online,,3,1.0,False,False
ORD101151,2023-09-01,CUST0063,Nada Mostafa,Cairo,Consumer,Electronics,Bluetooth Speaker,2,936.34,0.0,1872.68,1112.58,760.1,Cash,Online,,0,1.0,False,False
ORD105376,2025-09-19,CUST0108,Omar El-Sayed,Cairo,SMB,Electronics,Smart Watch,2,3311.41,0.0,6622.82,4084.5,2538.32,Mobile Wallet,In-store,Youssef A.,0,5.0,False,False
ORD104490,2025-04-04,CUST0443,Khaled El-Sayed,Alexandria,Consumer,Groceries,Rice 5kg,1,212.77,0.0,212.77,154.05,58.72,Card,Online,,0,4.0,False,False
ORD105584,2025-10-26,CUST0480,Amr Khalil,Cairo,SMB,Groceries,Coffee 250g,2,166.35,0.0,332.7,190.26,142.44,Cash,Phone,Mona K.,0,,False,False
ORD104387,2025-03-24,CUST0086,Karim Khalil,Alexandria,Consumer,Groceries,Honey Jar,2,300.58,0.0,601.16,386.22,214.94,Card,Online,Omar F.,1,5.0,False,False
ORD100997,2023-07-16,CUST0481,Khaled Mostafa,Alexandria,Consumer,Groceries,Olive Oil 1L,3,267.36,0.0,802.08,550.44,251.64,Installment,In-store,Khaled T.,0,1.0,False,False
ORD100407,2023-03-23,CUST0089,Khaled Ibrahim,Tanta,Consumer,Clothing,Hoodie,2,696.35,0.0,1392.7,594.54,798.16,Cash,In-store,Sara M.,0,5.0,False,False
ORD104411,2025-03-26,CUST0018,Adel Mahmoud,Cairo,Consumer,Clothing,Sneakers,1,1307.0,0.0,1307.0,668.58,638.42,Mobile Wallet,In-store,Mona K.,0,4.0,False,False
ORD100054,2023-01-13,CUST0494,Mahmoud Mostafa,Alexandria,Consumer,Electronics,Power Bank,1,636.43,0.0,636.43,348.6,287.83,Mobile Wallet,Online,Khaled T.,3,3.0,False,False
ORD105609,2025-10-29,CUST0599,Mahmoud Khalil,Mansoura,Consumer,Clothing,Women's Dress,1,968.62,0.0,-968.62,400.96,-567.66,Installment,Phone,Nourhan S.,0,3.0,False,True
ORD101673,2023-12-16,CUST0500,Adel Khalil,Cairo,SMB,Electronics,Smart Watch,2,3328.25,0.0,6656.5,4106.24,2550.26,Card,In-store,Sara M.,0,3.0,False,False
ORD105438,2025-10-01,CUST0458,Nourhan Ibrahim,Cairo,Consumer,Electronics,Bluetooth Speaker,1,884.43,0.0,884.43,534.19,350.24,Cash,Online,Youssef A.,3,3.0,False,False
ORD102465,2024-05-02,CUST0577,Laila El-Sayed,Alexandria,SMB,Home & Kitchen,Blender,1,1166.49,0.0,1166.49,615.77,550.72,Card,In-store,Mona K.,0,5.0,False,False
ORD103312,2024-10-24,CUST0195,Ahmed Mahmoud,Mansoura,Consumer,Sports,Dumbbell Set,2,1794.56,0.0,3589.12,2260.12,1329.0,Card,Online,Khaled T.,2,3.0,False,False
ORD105160,2025-08-07,CUST0572,Karim Sherif,Alexandria,SMB,Electronics,Smart Watch,1,3519.5,0.0,3519.5,2089.05,1430.45,Mobile Wallet,Online,Sara M.,4,5.0,False,False
ORD101047,2023-07-29,CUST0112,Dina Hassan,Alexandria,Consumer,Sports,Dumbbell Set,3,1675.45,0.0,5026.35,3276.48,1749.87,Mobile Wallet,In-store,Omar F.,0,4.0,False,False
